Items count,Days amount,Server → ES requrest (ms),ES search exec (ms)
13003,66,92,4
13003,66,75,6
13003,66,49,5
13003,66,25,3
13003,66,22,3
13003,66,24,3
13003,66,22,3
13003,66,28,2
13003,66,49,6
Average,,42.8888888888889,3.88888888888889
20626,66,53,7
20626,66,32,2
20626,66,20,2
20626,66,27,6
20626,66,23,3
20626,66,45,5
20626,66,26,3
20626,66,23,2
20626,66,29,4
20626,66,22,3
Average,,30,3.7
50009,66,65,2
50009,66,33,2
50009,66,28,2
50009,66,23,2
50009,66,22,2
50009,66,22,2
50009,66,24,4
50009,66,21,3
50009,66,26,2
50009,66,24,2
Average,,28.8,2.3
